state,group,rurality,year,half_year,suppression_used,total_prescriptions,chipMedicaidEnroll
md,1,1,2016,2,TRUE,0,1281890
me,0,3,2011,1,FALSE,8886,313545
me,0,3,2011,1,TRUE,0,313545
me,0,3,2011,2,FALSE,9557,304560
me,0,3,2011,2,TRUE,0,304560
me,0,3,2012,1,FALSE,9990,301438
me,0,3,2012,1,TRUE,0,301438
me,0,3,2012,2,FALSE,10472,299746
me,0,3,2012,2,TRUE,0,299746
me,0,3,2013,1,FALSE,10131,288081
me,0,3,2013,1,TRUE,0,288081
me,0,3,2013,2,FALSE,7393,278909
me,0,3,2013,2,TRUE,0,278909
me,0,3,2014,1,FALSE,6958,299549
me,0,3,2014,1,TRUE,0,299549
me,0,3,2014,2,FALSE,7819,287807
me,0,3,2014,2,TRUE,0,287807
me,0,3,2015,1,FALSE,7609,283399
me,0,3,2015,1,TRUE,0,283399
me,0,3,2015,2,FALSE,7921,279000
me,0,3,2015,2,TRUE,0,279000
me,0,3,2016,1,FALSE,8663,274432
me,0,3,2016,1,TRUE,0,274432
me,0,3,2016,2,FALSE,8840,269428
me,0,3,2016,2,TRUE,0,269428
ms,0,3,2011,1,FALSE,2934,687469
ms,0,3,2011,1,TRUE,0,687469
ms,0,3,2011,2,FALSE,5827,690583
ms,0,3,2011,2,TRUE,0,690583
ms,0,3,2012,1,FALSE,4735,692750
ms,0,3,2012,1,TRUE,0,692750
ms,0,3,2012,2,FALSE,4938,691658
ms,0,3,2012,2,TRUE,0,691658
ms,0,3,2013,1,FALSE,5535,692641
ms,0,3,2013,1,TRUE,0,692641
ms,0,3,2013,2,FALSE,6594,695009
ms,0,3,2013,2,TRUE,0,695009
ms,0,3,2014,1,FALSE,7459,687967
ms,0,3,2014,1,TRUE,0,687967
ms,0,3,2014,2,FALSE,8098,714084
ms,0,3,2014,2,TRUE,0,714084
ms,0,3,2015,1,FALSE,8952,712828
ms,0,3,2015,1,TRUE,0,712828
ms,0,3,2015,2,FALSE,9461,693365
ms,0,3,2015,2,TRUE,0,693365
ms,0,3,2016,1,FALSE,10872,699103
ms,0,3,2016,1,TRUE,0,699103
ms,0,3,2016,2,FALSE,11968,684094
ms,0,3,2016,2,TRUE,0,684094
nc,0,2,2011,1,FALSE,25428,1584385
nc,0,2,2011,1,TRUE,0,1584385
nc,0,2,2011,2,FALSE,24765,1629599
nc,0,2,2011,2,TRUE,0,1629599
nc,0,2,2012,1,FALSE,25225,1661666
nc,0,2,2012,1,TRUE,0,1661666
nc,0,2,2012,2,FALSE,25108,1696569
nc,0,2,2012,2,TRUE,0,1696569
nc,0,2,2013,1,FALSE,31918,1699943
nc,0,2,2013,1,TRUE,0,1699943
nc,0,2,2013,2,FALSE,30986,1691981
nc,0,2,2013,2,TRUE,0,1691981
nc,0,2,2014,1,FALSE,32631,1809993
nc,0,2,2014,1,TRUE,0,1809993
nc,0,2,2014,2,FALSE,42160,1821459
nc,0,2,2014,2,TRUE,0,1821459
nc,0,2,2015,1,FALSE,40532,2000049
nc,0,2,2015,1,TRUE,0,2000049
nc,0,2,2015,2,FALSE,44808,2000804
nc,0,2,2015,2,TRUE,0,2000804
nc,0,2,2016,1,FALSE,47395,2047693
nc,0,2,2016,1,TRUE,0,2047693
nc,0,2,2016,2,FALSE,49012,2084900
nc,0,2,2016,2,TRUE,0,2084900
ne,0,2,2011,1,FALSE,4090,236596
ne,0,2,2011,1,TRUE,0,236596
ne,0,2,2011,2,FALSE,4771,237169
ne,0,2,2011,2,TRUE,0,237169
ne,0,2,2012,1,FALSE,5003,236616
ne,0,2,2012,1,TRUE,0,236616
ne,0,2,2012,2,FALSE,5761,239295
ne,0,2,2012,2,TRUE,0,239295
ne,0,2,2013,1,FALSE,5619,244432
ne,0,2,2013,1,TRUE,0,244432
ne,0,2,2013,2,FALSE,5773,233139
ne,0,2,2013,2,TRUE,0,233139
ne,0,2,2014,1,FALSE,6136,238506
ne,0,2,2014,1,TRUE,0,238506
ne,0,2,2014,2,FALSE,5545,240058
ne,0,2,2014,2,TRUE,0,240058
ne,0,2,2015,1,FALSE,5984,237498
ne,0,2,2015,1,TRUE,0,237498
ne,0,2,2015,2,FALSE,6238,237979
ne,0,2,2015,2,TRUE,0,237979
ne,0,2,2016,1,FALSE,7476,240748
ne,0,2,2016,1,TRUE,0,240748
ne,0,2,2016,2,FALSE,7141,243657
ne,0,2,2016,2,TRUE,0,243657
nm,1,2,2011,1,FALSE,4268,517565
nm,1,2,2011,1,TRUE,0,517565
nm,1,2,2011,2,FALSE,3326,515325
nm,1,2,2011,2,TRUE,0,515325
nm,1,2,2012,1,FALSE,6327,516826
nm,1,2,2012,1,TRUE,0,516826
nm,1,2,2012,2,FALSE,6075,518127
nm,1,2,2012,2,TRUE,0,518127
nm,1,2,2013,1,FALSE,7825,515362
nm,1,2,2013,1,TRUE,0,515362
nm,1,2,2013,2,FALSE,5302,508548
nm,1,2,2013,2,TRUE,0,508548
nm,1,2,2014,1,FALSE,3236,691524
nm,1,2,2014,1,TRUE,0,691524
nm,1,2,2014,2,FALSE,14992,687942
nm,1,2,2014,2,TRUE,0,687942
nm,1,2,2015,1,FALSE,10428,711541
nm,1,2,2015,1,TRUE,0,711541
nm,1,2,2015,2,FALSE,11218,738231
nm,1,2,2015,2,TRUE,0,738231
nm,1,2,2016,1,FALSE,11777,757248
nm,1,2,2016,1,TRUE,0,757248
nm,1,2,2016,2,FALSE,15457,775020
nm,1,2,2016,2,TRUE,0,775020
nv,1,1,2011,1,FALSE,3771,312039
nv,1,1,2011,1,TRUE,0,312039
nv,1,1,2011,2,FALSE,3942,321564
nv,1,1,2011,2,TRUE,0,321564
nv,1,1,2012,1,FALSE,5698,325717
nv,1,1,2012,1,TRUE,0,325717
nv,1,1,2012,2,FALSE,6276,326580
nv,1,1,2012,2,TRUE,0,326580
nv,1,1,2013,1,FALSE,7713,334766
nv,1,1,2013,1,TRUE,0,334766
nv,1,1,2013,2,FALSE,6959,353416
nv,1,1,2013,2,TRUE,0,353416
nv,1,1,2014,1,FALSE,11191,507572
nv,1,1,2014,1,TRUE,0,507572
nv,1,1,2014,2,FALSE,14077,548377
nv,1,1,2014,2,TRUE,0,548377
nv,1,1,2015,1,FALSE,18262,563484
nv,1,1,2015,1,TRUE,0,563484
nv,1,1,2015,2,FALSE,19555,596516
nv,1,1,2015,2,TRUE,0,596516
nv,1,1,2016,1,FALSE,18674,608960
nv,1,1,2016,1,TRUE,0,608960
nv,1,1,2016,2,FALSE,16115,623574
nv,1,1,2016,2,TRUE,0,623574
ny,1,1,2011,1,FALSE,80279,5312152
ny,1,1,2011,1,TRUE,0,5312152
ny,1,1,2011,2,FALSE,84766,5364978
ny,1,1,2011,2,TRUE,0,5364978
ny,1,1,2012,1,FALSE,108027,5456462
ny,1,1,2012,1,TRUE,0,5456462
ny,1,1,2012,2,FALSE,98202,5544018
ny,1,1,2012,2,TRUE,0,5544018
ny,1,1,2013,1,FALSE,119268,5606337
ny,1,1,2013,1,TRUE,0,5606337
ny,1,1,2013,2,FALSE,127248,5622123
ny,1,1,2013,2,TRUE,0,5622123
ny,1,1,2014,1,FALSE,164015,6093172
ny,1,1,2014,1,TRUE,0,6093172
ny,1,1,2014,2,FALSE,173824,6300006
ny,1,1,2014,2,TRUE,0,6300006
ny,1,1,2015,1,FALSE,202172,6479343
ny,1,1,2015,1,TRUE,0,6479343
ny,1,1,2015,2,FALSE,151577,6620649
ny,1,1,2015,2,TRUE,0,6620649
ny,1,1,2016,1,FALSE,288787,6413404
ny,1,1,2016,1,TRUE,0,6413404
ny,1,1,2016,2,FALSE,222387,6420227
ny,1,1,2016,2,TRUE,0,6420227
oh,1,2,2011,1,FALSE,52207,2155341
oh,1,2,2011,1,TRUE,0,2155341
oh,1,2,2011,2,FALSE,41411,2179799
oh,1,2,2011,2,TRUE,0,2179799
oh,1,2,2012,1,FALSE,66293,2219173
oh,1,2,2012,1,TRUE,0,2219173
oh,1,2,2012,2,FALSE,83488,2219829
oh,1,2,2012,2,TRUE,0,2219829
oh,1,2,2013,1,FALSE,85332,2223352
oh,1,2,2013,1,TRUE,0,2223352
oh,1,2,2013,2,FALSE,80517,2227795
oh,1,2,2013,2,TRUE,0,2227795
oh,1,2,2014,1,FALSE,90552,2634261
oh,1,2,2014,1,TRUE,0,2634261
oh,1,2,2014,2,FALSE,109856,2900815
oh,1,2,2014,2,TRUE,0,2900815
oh,1,2,2015,1,FALSE,155901,2988691
oh,1,2,2015,1,TRUE,0,2988691
oh,1,2,2015,2,FALSE,202210,2932001
oh,1,2,2015,2,TRUE,0,2932001
oh,1,2,2016,1,FALSE,219267,2979371
oh,1,2,2016,1,TRUE,0,2979371
oh,1,2,2016,2,FALSE,218872,2910351
oh,1,2,2016,2,TRUE,0,2910351
or,1,1,2011,1,FALSE,11957,609602
or,1,1,2011,1,TRUE,0,609602
or,1,1,2011,2,FALSE,12072,627741
or,1,1,2011,2,TRUE,0,627741
or,1,1,2012,1,FALSE,11815,641157
or,1,1,2012,1,TRUE,0,641157
or,1,1,2012,2,FALSE,9446,643495
or,1,1,2012,2,TRUE,0,643495
or,1,1,2013,1,FALSE,16705,648987
or,1,1,2013,1,TRUE,0,648987
or,1,1,2013,2,FALSE,12259,638299
or,1,1,2013,2,TRUE,0,638299
or,1,1,2014,1,FALSE,20724,984878
or,1,1,2014,1,TRUE,0,984878
or,1,1,2014,2,FALSE,21953,1036190
or,1,1,2014,2,TRUE,0,1036190
or,1,1,2015,1,FALSE,29670,1064251
or,1,1,2015,1,TRUE,0,1064251
or,1,1,2015,2,FALSE,27516,1044686
or,1,1,2015,2,TRUE,0,1044686
or,1,1,2016,1,FALSE,31376,1049229
or,1,1,2016,1,TRUE,0,1049229
or,1,1,2016,2,FALSE,29273,986111
or,1,1,2016,2,TRUE,0,986111
ri,1,1,2011,1,FALSE,646,185832
