year,state,halfyear,suppression,totalRX
2013,CA,2,F,38193
2013,CO,1,F,7387
2013,CO,1,T,0
2013,CO,2,T,0
2013,CO,2,F,7311
2013,CT,1,T,0
2013,CT,1,F,14113
2013,CT,2,T,0
2013,CT,2,F,12257
2013,DC,1,F,2207
2013,DC,1,T,0
2013,DC,2,F,1662
2013,DC,2,T,0
2013,DE,1,T,0
2013,DE,1,F,1220
2013,DE,2,T,0
2013,DE,2,F,1357
2013,FL,1,F,29002
2013,FL,1,T,0
2013,FL,2,F,18580
2013,FL,2,T,0
2013,GA,1,T,0
2013,GA,1,F,15027
2013,GA,2,T,0
2013,GA,2,F,12960
2013,HI,1,T,0
2013,HI,1,F,2439
2013,HI,2,T,0
2013,HI,2,F,2216
2013,IA,1,T,0
2013,IA,1,F,9490
2013,IA,2,F,9086
2013,IA,2,T,0
2013,ID,1,F,3772
2013,ID,1,T,0
2013,ID,2,F,3889
2013,ID,2,T,0
2013,IL,1,T,0
2013,IL,1,F,25915
2013,IL,2,F,16895
2013,IL,2,T,0
2013,IN,1,T,0
2013,IN,1,F,16786
2013,IN,2,F,14800
2013,IN,2,T,0
2013,KS,1,T,0
2013,KS,1,F,866
2013,KS,2,T,0
2013,KS,2,F,2895
2013,KY,1,T,0
2013,KY,1,F,20359
2013,KY,2,T,0
2013,KY,2,F,14849
2013,LA,1,T,0
2013,LA,1,F,11054
2013,LA,2,T,0
2013,LA,2,F,9709
2013,MA,1,T,0
2013,MA,1,F,14754
2013,MA,2,T,0
2013,MA,2,F,12773
2013,MD,1,F,12680
2013,MD,1,T,0
2013,MD,2,T,0
2013,MD,2,F,12401
2013,ME,1,T,0
2013,ME,1,F,7261
2013,ME,2,T,0
2013,ME,2,F,4308
2013,MI,1,T,0
2013,MI,1,F,17114
2013,MI,2,T,0
2013,MI,2,F,12307
2013,MN,1,F,17961
2013,MN,1,T,0
2013,MN,2,F,19441
2013,MN,2,T,0
2013,MO,1,T,0
2013,MO,1,F,29923
2013,MO,2,T,0
2013,MO,2,F,30443
2013,MS,1,T,0
2013,MS,1,F,3056
2013,MS,2,F,3498
2013,MS,2,T,0
2013,MT,1,T,0
2013,MT,1,F,2761
2013,MT,2,T,0
2013,MT,2,F,2831
2013,NC,1,T,0
2013,NC,1,F,19072
2013,NC,2,T,0
2013,NC,2,F,16362
2013,NE,1,F,3590
2013,NE,1,T,0
2013,NE,2,F,3261
2013,NE,2,T,0
2013,NH,1,T,0
2013,NH,1,F,3446
2013,NH,2,T,0
2013,NH,2,F,3001
2013,NJ,1,T,0
2013,NJ,1,F,12378
2013,NJ,2,F,10483
2013,NJ,2,T,0
2013,NM,1,T,0
2013,NM,1,F,3583
2013,NM,2,F,2185
2013,NM,2,T,0
2013,NV,1,T,0
2013,NV,1,F,3883
2013,NV,2,T,0
2013,NV,2,F,2815
2013,NY,1,T,0
2013,NY,1,F,50097
2013,NY,2,T,0
2013,NY,2,F,52782
2013,OH,1,T,0
2013,OH,1,F,49760
2013,OH,2,F,45228
2013,OH,2,T,0
2013,OK,1,F,13540
2013,OK,1,T,0
2013,OK,2,F,12546
2013,OK,2,T,0
2013,OR,1,T,0
2013,OR,1,F,13387
2013,OR,2,T,0
2013,OR,2,F,8842
2013,PA,1,T,0
2013,PA,1,F,20760
2013,PA,2,T,0
2013,PA,2,F,23047
2013,RI,1,T,0
2013,RI,1,F,486
2013,RI,2,T,0
2013,RI,2,F,372
2013,SC,1,T,0
2013,SC,1,F,7154
2013,SC,2,T,0
2013,SC,2,F,6097
2013,SD,1,T,0
2013,SD,1,F,1048
2013,SD,2,T,0
2013,SD,2,F,850
2013,TN,1,T,0
2013,TN,1,F,20683
2013,TN,2,T,0
2013,TN,2,F,19163
2013,TX,1,F,12074
2013,TX,1,T,0
2013,TX,2,F,7816
2013,TX,2,T,0
2013,UT,1,T,0
2013,UT,1,F,2396
2013,UT,2,F,2913
2013,UT,2,T,0
2013,VA,1,T,0
2013,VA,1,F,20076
2013,VA,2,T,0
2013,VA,2,F,19550
2013,VT,1,F,2475
2013,VT,1,T,0
2013,VT,2,T,0
2013,VT,2,F,2299
2013,WA,1,T,0
2013,WA,1,F,6619
2013,WA,2,T,0
2013,WA,2,F,8296
2013,WI,1,T,0
2013,WI,1,F,21902
2013,WI,2,T,0
2013,WI,2,F,20003
2013,WV,1,T,0
2013,WV,1,F,5673
2013,WV,2,T,0
2013,WV,2,F,5551
2013,WY,1,T,0
2013,WY,1,F,847
2013,WY,2,T,0
2013,WY,2,F,1150
2014,AK,1,T,0
2014,AK,1,F,1449
2014,AK,2,T,0
2014,AK,2,F,1509
2014,AL,1,T,0
2014,AL,1,F,12942
2014,AL,2,T,0
2014,AL,2,F,10380
2014,AR,1,T,0
2014,AR,1,F,3014
2014,AR,2,T,0
2014,AR,2,F,3189
2014,AZ,1,F,9690
2014,AZ,1,T,0
2014,AZ,2,F,13550
2014,AZ,2,T,0
2014,CA,1,T,0
2014,CA,1,F,46296
2014,CA,2,T,0
2014,CA,2,F,48934
2014,CO,1,T,0
2014,CO,1,F,9871
2014,CO,2,T,0
2014,CO,2,F,10479
2014,CT,1,T,0
2014,CT,1,F,12860
2014,CT,2,T,0
2014,CT,2,F,13268
2014,DC,1,F,1836
2014,DC,1,T,0
2014,DC,2,F,2137
2014,DC,2,T,0
2014,DE,1,T,0
2014,DE,1,F,1429
2014,DE,2,F,1367
2014,DE,2,T,0
2014,FL,1,T,0
2014,FL,1,F,18502
2014,FL,2,T,0
2014,FL,2,F,14546
2014,GA,1,T,0
2014,GA,1,F,13082
2014,GA,2,T,0
2014,GA,2,F,13041
2014,HI,1,T,0
2014,HI,1,F,2857
2014,HI,2,T,0
2014,HI,2,F,2680
2014,IA,1,F,10749
2014,IA,1,T,0
2014,IA,2,F,11040
2014,IA,2,T,0
2014,ID,1,F,4077
2014,ID,1,T,0
2014,ID,2,F,3956
2014,ID,2,T,0
2014,IL,1,F,20519
2014,IL,1,T,0
2014,IL,2,T,0
2014,IL,2,F,25318
2014,IN,1,F,16889
2014,IN,1,T,0
2014,IN,2,F,19090
2014,IN,2,T,0
2014,KS,1,F,11976
2014,KS,1,T,0
2014,KS,2,F,8628
2014,KS,2,T,0
2014,KY,1,T,0
2014,KY,1,F,19749
2014,KY,2,F,25984
2014,KY,2,T,0
2014,LA,1,F,10525
2014,LA,1,T,0
2014,LA,2,T,0
2014,LA,2,F,9085
2014,MA,1,T,0
2014,MA,1,F,14890
2014,MA,2,T,0
2014,MA,2,F,13540
2014,MD,1,T,0
2014,MD,1,F,15054
2014,MD,2,F,15421
2014,MD,2,T,0
2014,ME,1,T,0
2014,ME,1,F,4022
2014,ME,2,T,0
2014,ME,2,F,4461
2014,MI,1,T,0
2014,MI,1,F,14737
2014,MI,2,T,0
2014,MI,2,F,20431
2014,MN,1,T,0
2014,MN,1,F,19347
2014,MN,2,F,21774
2014,MN,2,T,0
2014,MO,1,F,25826
2014,MO,1,T,0
2014,MO,2,T,0
2014,MO,2,F,26182
2014,MS,1,F,4005
2014,MS,1,T,0
2014,MS,2,F,4018
2014,MS,2,T,0
2014,MT,1,T,0
2014,MT,1,F,3085
2014,MT,2,T,0
2014,MT,2,F,3099
2014,NC,1,F,16722
2014,NC,1,T,0
2014,NC,2,F,20948
2014,NC,2,T,0
2014,NE,1,T,0
2014,NE,1,F,3530
2014,NE,2,T,0
2014,NE,2,F,2691
2014,NH,1,T,0
2014,NH,1,F,2642
2014,NH,2,T,0
2014,NH,2,F,3117
2014,NJ,1,T,0
2014,NJ,1,F,14764
2014,NJ,2,F,13706
2014,NJ,2,T,0
2014,NM,1,T,0
2014,NM,1,F,1216
2014,NM,2,F,5959
2014,NM,2,T,0
2014,NV,1,T,0
2014,NV,1,F,4462
2014,NV,2,T,0
2014,NV,2,F,4933
2014,NY,1,T,0
2014,NY,1,F,60898
2014,NY,2,T,0
2014,NY,2,F,59407
2014,OH,1,T,0
2014,OH,1,F,48579
2014,OH,2,T,0
2014,OH,2,F,54587
2014,OK,1,F,12797
2014,OK,1,T,0
2014,OK,2,F,10232
2014,OK,2,T,0
2014,OR,1,T,0
2014,OR,1,F,13721
2014,OR,2,T,0
2014,OR,2,F,12824
2014,PA,1,T,0
2014,PA,1,F,23627
2014,PA,2,T,0
2014,PA,2,F,24649
2014,RI,1,T,0
2014,RI,1,F,342
2014,RI,2,T,0
2014,RI,2,F,299
2014,SC,1,T,0
2014,SC,1,F,5793
2014,SC,2,T,0
2014,SC,2,F,5851
2014,SD,1,T,0
2014,SD,1,F,507
2014,SD,2,T,0
2014,SD,2,F,1022
2014,TN,1,T,0
2014,TN,1,F,20121
2014,TN,2,T,0
