state,group,year,halfyear,chipMedicaidEnroll,suppression,totalRX
KS,0,2015,2,407388,F,5556
KS,0,2015,2,407388,T,0
KS,0,2016,1,420386,T,0
KS,0,2016,1,420386,F,6029
KS,0,2016,2,408885,T,0
KS,0,2016,2,408885,F,7248
KY,1,2011,1,861523,F,21247
KY,1,2011,1,861523,T,0
KY,1,2011,2,865706,F,22152
KY,1,2011,2,865706,T,0
KY,1,2012,1,866031,T,0
KY,1,2012,1,866031,F,19827
KY,1,2012,2,870382,T,0
KY,1,2012,2,870382,F,23307
KY,1,2013,1,867170,T,0
KY,1,2013,1,867170,F,20359
KY,1,2013,2,847644,T,0
KY,1,2013,2,847644,F,14849
KY,1,2014,1,1054115,T,0
KY,1,2014,1,1054115,F,19749
KY,1,2014,2,1073384,F,25984
KY,1,2014,2,1073384,T,0
KY,1,2015,1,1117207,F,38801
KY,1,2015,1,1117207,T,0
KY,1,2015,2,1179314,F,34921
KY,1,2015,2,1179314,T,0
KY,1,2016,1,1225842,T,0
KY,1,2016,1,1225842,F,49059
KY,1,2016,2,1230475,T,0
KY,1,2016,2,1230475,F,46760
LA,0,2011,1,1121318,F,8462
LA,0,2011,1,1121318,T,0
LA,0,2011,2,1147287,F,8758
LA,0,2011,2,1147287,T,0
LA,0,2012,1,1164796,F,8815
LA,0,2012,1,1164796,T,0
LA,0,2012,2,1170908,T,0
LA,0,2012,2,1170908,F,10408
LA,0,2013,1,1170642,T,0
LA,0,2013,1,1170642,F,11054
LA,0,2013,2,1176799,T,0
LA,0,2013,2,1176799,F,9709
LA,0,2014,1,1033090,F,10525
LA,0,2014,1,1033090,T,0
LA,0,2014,2,1044151,T,0
LA,0,2014,2,1044151,F,9085
LA,0,2015,1,1072982,T,0
LA,0,2015,1,1072982,F,13610
LA,0,2015,2,1077109,T,0
LA,0,2015,2,1077109,F,11205
LA,0,2016,1,1052682,T,0
LA,0,2016,1,1052682,F,11409
LA,0,2016,2,1415385,T,0
LA,0,2016,2,1415385,F,13072
MA,1,2011,1,1306943,F,14126
MA,1,2011,1,1306943,T,0
MA,1,2011,2,1304413,F,13517
MA,1,2011,2,1304413,T,0
MA,1,2012,1,1352214,F,14775
MA,1,2012,1,1352214,T,0
MA,1,2012,2,1370370,F,13248
MA,1,2012,2,1370370,T,0
MA,1,2013,1,1392502,T,0
MA,1,2013,1,1392502,F,14754
MA,1,2013,2,1398075,T,0
MA,1,2013,2,1398075,F,12773
MA,1,2014,1,1469714,T,0
MA,1,2014,1,1469714,F,14890
